Contig	C0_1_C	C0_2_C	C63_1_C	C63_2_C	T0_1_C	T0_2_C	T63_1_C	T63_2_C	C0_1_V	C0_2_V	C63_1_V	C63_2_V	T0_1_V	T0_2_V	T63_1_V	T63_2_V	K1_s	K2_s	K1_t	K2_t
KSW-T63_2_V_NODE_810_length_7995_cov_24.566625||full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89564544	13.92299	3.840093	0	0	0
K-NODE_10219_length_5365_cov_17.707345	0	0	0	0	0	0	2.7017708	0	0	0	0	0	0	0	0	0.8671967	0	66.57135	0	17.590405
KSW-T63_2_C_NODE_11604_length_5943_cov_13.825408	7.256589	0	6.307732	5.795009	52.3301	60.13314	15.299206	18.859768	0	0	0	0	0	0	0	2.1528528	10.437999	112.90376	0	4.1558204
KSW-megahit_k141_1070236||full	0	8.090469	0	0	0	0	0	0	0	0	0	0	0	0	1.4823817	0	2.1615076	0	0	0
KSW-megahit_k141_676004||full	0	6.268446	0	0	0	0	0	0	0	0	0	0	0	0	1.1684957	0	3.0180879	0	0	0
K-S4C68640	0	0	0	0	0	776.22876	0	0	0	0	0	0	0	0	0	0	605.30273	1255.827	87086.25	36654.266
K-S3C108123	0	0	0	0	0	63.864006	0	0	0	0	0	0	0	0	0	0	56.27998	113.96794	7032.0024	3677.3838
KSW-C-S7C10198	0	0	182.55743	117.27588	20.999186	23.731937	250.10931	121.1762	0	0	0	0	0	0	0	0	0	24.244707	0	0
KSD-NODE_54_length_70550_cov_27.906632	0	0	0	0	0	0	0	0	0	0.19687615	0.1926089	0.5683599	0.495762	0	0.48727205	0.18529287	0	29.532381	0	0
KSD-NODE_110_length_57707_cov_147.768091	4.0878696	0	2.1624496	0	0	0	0	0	0	0.550345	0.8702732	0.68784046	1.5563552	0.13067424	0.8292465	0.32522157	0	53.889427	0	0
