leaf_id	common_name	Phylum	Class	Order	Family	Genus	Family_AKA	Sequencing-approach	num_seqs	sum_contig_len	min_contig_len	avg_contig_len	max_contig_len	num_prot_seqs	GC	Source	Source-Detail
GCA.003051145.1.ASM305114v1.fltr.fna	Faustovirus strain=D5b	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_01	g22	Asfarviridae	isolate	1	464523	464523	464523	464523	493	37.66	Waste	sewage
GCA.003051705.1.ASM305170v1.fltr.fna	Faustovirus strain=E12	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_01	g22	Asfarviridae	cultivation-independent	1	466265	466265	466265	466265	486	36.22	Host	protist in human
GCA.900176665.1.PRJEB20203.fltr.fna	Faustovirus ST1 strain=ST1	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_01	g22	Asfarviridae	cultivation-independent	1	470659	470659	470659	470659	496	36.74	Waste	Wastewater
GVMAG-M-3300027833-19.fltr.fna	GVMAG-M-3300027833-19	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_01	g28	Asfarviridae	cultivation-independent	6	264175	12315	44029.2	100211	285	30.03	Marine	Marine
GVMAG-M-3300023184-186.fltr.fna	GVMAG-M-3300023184-186	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_01	g24	Asfarviridae	cultivation-independent	10	496936	14289	49693.6	83891	417	27.55	Freshwater	Freshwater
GVMAG-M-3300023184-110.fltr.fna	GVMAG-M-3300023184-110	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_01	g24	Asfarviridae	cultivation-independent	12	463436	19855	38619.7	85938	358	26.36	Freshwater	Freshwater
GVMAG-M-3300027707-33.fltr.fna	GVMAG-M-3300027707-33	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_01	g24	Asfarviridae	cultivation-independent	14	293299	11125	20949.9	38389	252	29.76	Freshwater	Freshwater
GVMAG-M-3300022916-57.fltr.fna	GVMAG-M-3300022916-57	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_01	g25	Asfarviridae	cultivation-independent	3	330706	73274	110235.3	173012	277	46.14	Marine	Marine
AbALV.fltr.fna	AbALV	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_01	g27	Asfarviridae	isolate	1	155181	155181	155181	155181	158	31.63	Host	diseased abalone
GCA.003047755.1.ASM304775v1.fltr.fna	African swine fever virus Georgia 2007/1 strain=Georgia 2007/1	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_01	g26	Asfarviridae	isolate	1	189344	189344	189344	189344	167	38.42	Host	pig tissue samples
GCA.003815255.1.ASM381525v1.fltr.fna	African swine fever virus strain=R35	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_01	g26	Asfarviridae	isolate	1	188629	188629	188629	188629	168	38.47	Host	domestic pig blood
KSW-cf.coassembly.k141.3812067.fa																	
KSW-cf.coassembly.k141.1396349.fa																	
KSW-vf.coassembly.k141.72160.fa																	
GVMAG-M-3300010151-7.fltr.fna	GVMAG-M-3300010151-7	Nucleocytoviricota	Pokkesviricetes	Chitovirales	incertae_sedis	g12	-	cultivation-independent	7	224093	24141	32013.3	38181	236	20.81	Marine	Marine
GCA.000838565.1.ViralProj14042.fltr.fna	Melanoplus sanguinipes entomopoxvirus 'O' Tucson	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g11	Poxviridae	isolate	1	236120	236120	236120	236120	257	18.27	Host	host
GCA.000916855.1.ViralProj237470.fltr.fna	Anomala cuprea entomopoxvirus strain=CV6M	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g10	Poxviridae	isolate	1	245717	245717	245717	245717	275	19.98	Host	A. cuprea larvae
GCA.000427155.1.MySEV.1.fltr.fna	Mythimna separata entomopoxvirus 'L' 	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g9	Poxviridae	isolate	1	281182	281182	281182	281182	307	19.69	Host	moth
GCA.000427135.1.AHEV.1.fltr.fna	Adoxophyes honmai entomopoxvirus 'L' Tokyo	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g9	Poxviridae	isolate	1	228750	228750	228750	228750	251	21	Host	diseased larvae 
GCA.000427115.1.CBEV.1.fltr.fna	Choristoneura biennis entomopoxvirus 	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g9	Poxviridae	isolate	1	307691	307691	307691	307691	326	19.73	Host	diseased larvae
GCA.000837185.1.ViralProj14097.fltr.fna	Amsacta moorei entomopoxvirus 	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g9	Poxviridae	isolate	1	232392	232392	232392	232392	262	17.78	Host	Insects
GCA.001271235.1.ViralProj293081.fltr.fna	Salmon gill poxvirus 2012-04-F277-L3G	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g8	Poxviridae	isolate	1	241564	241564	241564	241564	218	37.55	Host	salmon
GCA.000869065.1.ViralProj16798.fltr.fna	Nile crocodilepox virus 	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g7	Poxviridae	isolate	1	190054	190054	190054	190054	171	61.92	Host	Crocodile
GCA.006451235.1.ASM645123v1.fltr.fna	Saltwater crocodilepox virus 	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g7	Poxviridae	isolate	1	187976	187976	187976	187976	180	61.91	Host	crocodile
GCA.006452015.1.ASM645201v1.fltr.fna	Eastern grey kangaroopox virus strain=NSW	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g6	Poxviridae	isolate	1	170681	170681	170681	170681	155	53.98	Host	eastern grey kangaroo
GCA.001431935.1.ViralProj301027.fltr.fna	Turkeypox virus strain=TKPV-HU1124/2011	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g6	Poxviridae	isolate	1	188534	188534	188534	188534	191	29.78	Host	turkey
GCA.000841685.1.ViralProj14340.fltr.fna	Canarypox virus strain=ATCC VR-111	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g6	Poxviridae	isolate	1	359853	359853	359853	359853	334	30.37	Host	scab on foot of canary
GCA.006450615.1.ASM645061v1.fltr.fna	Shearwaterpox virus strain=SWPV-1	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g6	Poxviridae	isolate	1	326929	326929	326929	326929	319	27.56	Host	shorebird
GCA.000838605.1.ViralProj14052.fltr.fna	Fowlpox virus 	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g6	Poxviridae	isolate	1	288539	288539	288539	288539	262	30.89	Host	chicken embryo
GCA.000923135.1.ViralProj253477.fltr.fna	Penguinpox virus PSan92	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g6	Poxviridae	isolate	1	306862	306862	306862	306862	309	29.5	Host	penguin
GCA.000843325.1.ViralProj14328.fltr.fna	Molluscum contagiosum virus subtype 1 	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g5	Poxviridae	isolate	1	190289	190289	190289	190289	172	63.36	Host	human tumor
GCA.000913615.1.ViralProj223065.fltr.fna	Squirrelpox virus strain=Red squirrel UK	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g4	Poxviridae	isolate	1	148803	148803	148803	148803	145	66.69	Host	squirrel
GCA.000844045.1.ViralProj14469.fltr.fna	Bovine papular stomatitis virus strain=BV-AR02	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g3	Poxviridae	isolate	1	134431	134431	134431	134431	133	64.5	Host	lamb kidney cells
GCA.000930695.1.ViralProj271121.fltr.fna	Parapoxvirus red deer/HL953 strain=HL953	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g3	Poxviridae	isolate	1	139981	139981	139981	139981	138	64.96	Host	deer
GCA.002219465.1.ViralProj394314.fltr.fna	Seal parapoxvirus AFK76s1	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g3	Poxviridae	isolate	1	127941	127941	127941	127941	130	55.92	Host	seal
GCA.000886295.1.ViralProj45973.fltr.fna	Pseudocowpox virus strain=VR634	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g3	Poxviridae	isolate	1	145289	145289	145289	145289	138	64.99	Host	cattle
GCA.000844845.1.ViralProj14464.fltr.fna	Orf virus strain=OV-SA00	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g3	Poxviridae	isolate	1	139962	139962	139962	139962	136	63.44	Host	goat
GCA.001695465.1.ViralProj331044.fltr.fna	Pteropox virus strain=Australia	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g2	Poxviridae	isolate	1	133492	133492	133492	133492	143	33.76	Host	flying fox
GCA.003260795.1.ASM326079v1.fltr.fna	Sea otter poxvirus strain=ELK	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g2	Poxviridae	isolate	1	127879	127879	127879	127879	130	31.28	Host	sea otter
GCA.009909525.1.ASM990952v1.fltr.fna	Cetacean poxvirus 1 strain=CePV-TA	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g1	Poxviridae	isolate	1	121769	121769	121769	121769	126	28.45	Host	skin lesion
GCA.002354965.1.ViralProj406966.fltr.fna	Squirrelpox virus Berlin_2015 strain=Berlin_2015	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g1	Poxviridae	isolate	1	142974	142974	142974	142974	147	38.62	Host	squirrel
GCA.000892975.1.ViralProj72715.fltr.fna	Yokapox virus strain=DakArB 4268	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g1	Poxviridae	isolate	1	175699	175699	175699	175699	182	25.58	Host	mosquito pool
GCA.002270885.1.ViralProj399945.fltr.fna	Murmansk poxvirus strain=LEIV-11411	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g1	Poxviridae	isolate	1	204055	204055	204055	204055	209	29.79	Host	rodents
GCA.900327605.1.lib01460new.fltr.fna	Cowpox virus Ger/2015/Prairie-dog	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g1	Poxviridae	isolate	1	223701	223701	223701	223701	223	33.49	Host	Local lesions
GCA.001029045.1.ViralProj287042.fltr.fna	Raccoonpox virus strain=Herman	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g1	Poxviridae	isolate	1	214699	214699	214699	214699	219	32.33	Host	racoon
GCA.001744115.1.ViralProj344208.fltr.fna	Volepox virus strain=CA	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g1	Poxviridae	isolate	1	217124	217124	217124	217124	210	31.27	Host	vole
GCA.001745695.1.ViralProj344115.fltr.fna	Skunkpox virus strain=WA	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g1	Poxviridae	isolate	1	222832	222832	222832	222832	216	31.5	Host	skunk
GCA.002354985.1.ViralProj395094.fltr.fna	Eptesipox virus strain=Washington	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g1	Poxviridae	isolate	1	176688	176688	176688	176688	196	23.56	Host	bat
GCA.000847185.1.ViralProj14595.fltr.fna	Yaba-like disease virus 	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g1	Poxviridae	isolate	1	144575	144575	144575	144575	155	27	Host	human
GCA.000845705.1.ViralProj14466.fltr.fna	Yaba monkey tumor virus 	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g1	Poxviridae	isolate	1	134721	134721	134721	134721	139	29.83	Host	rhesus monkey
GCA.006465565.1.ASM646556v1.fltr.fna	Deerpox virus W-1170-84 W-1170-84	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g1	Poxviridae	isolate	1	170560	170560	170560	170560	173	27.03	Host	skin lesions
GCA.000839965.1.ViralProj14155.fltr.fna	Swinepox virus 17077-99	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g1	Poxviridae	isolate	1	146454	146454	146454	146454	152	27.4	Host	pig
GCA.006458285.1.ASM645828v1.fltr.fna	Lumpy skin disease virus NW-LW Neethling Warmbaths LW	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g1	Poxviridae	isolate	1	150793	150793	150793	150793	159	25.91	Host	lamb
GCA.001907825.1.ViralProj357638.fltr.fna	BeAn 58058 virus strain=BeAn58058	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g1	Poxviridae	isolate	1	163005	163005	163005	163005	213	24.24	Host	wild rodent 
GCA.006466005.1.ASM646600v1.fltr.fna	Cotia virus strain=SPAn880	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g1	Poxviridae	isolate	1	185139	185139	185139	185139	184	23.59	Host	brain of sentinel suckling white mice
GCA.000847965.1.ViralProj14590.fltr.fna	Rabbit fibroma virus strain=Kasza	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g1	Poxviridae	isolate	1	159857	159857	159857	159857	166	39.53	Host	rabbit
GCA.005411835.1.ASM541183v1.fltr.fna	Myxoma virus Toledo	Nucleocytoviricota	Pokkesviricetes	Chitovirales	PX_01	g1	Poxviridae	isolate	1	164579	164579	164579	164579	176	43.26	Host	Iberian hare
GVMAG-S-1041349-163.fltr.fna	GVMAG-S-1041349-163	Nucleocytoviricota	Megaviricetes	Pimascovirales	incertae_sedis	g43	-	cultivation-independent	7	254357	11403	36336.7	82588	284	28.66	Freshwater	Freshwater
GVMAG-M-3300025880-56.fltr.fna	GVMAG-M-3300025880-56	Nucleocytoviricota	Megaviricetes	Pimascovirales	incertae_sedis	g42	-	cultivation-independent	5	274828	14925	54965.6	125226	311	27.1	Marine	Marine
GVMAG-M-3300027790-3.fltr.fna	GVMAG-M-3300027790-3	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_08	g75	-	cultivation-independent	19	348349	10886	18334.2	35113	479	38.61	Marine	Marine
GVMAG-M-3300014838-63.fltr.fna	GVMAG-M-3300014838-63	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_08	g73	-	cultivation-independent	12	317824	13993	26485.3	50571	383	37.15	Soil	Soil
GVMAG-M-3300021079-18.fltr.fna	GVMAG-M-3300021079-18	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_08	g74	-	cultivation-independent	5	266514	21352	53302.8	89032	285	44.59	Freshwater	Freshwater
GVMAG-M-3300014838-21.fltr.fna	GVMAG-M-3300014838-21	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_08	g72	-	cultivation-independent	13	235891	10011	18145.5	26948	194	35.36	Soil	Soil
SRX247688.42.dc.fltr.fna	SRX247688.42.dc	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_08	g71	-	cultivation-independent	1	410260	410260	410260	410260	369	41.02	Waste	bioreactor sludge
Pithovirus.LCDPAC01.fltr.fna	Pithovirus.LCDPAC01	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g55	Pithoviridae	cultivation-independent	11	204619	10018	18601.7	31931	229	34.86	Marine	deep sea sediments near hydrothermal vent
GCA.003814205.1.ASM381420v1.fltr.fna	Solivirus sp. 	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g54	Pithoviridae	cultivation-independent	7	267764	10856	38252	74615	268	37.4	Soil	forest soil 
GVMAG-M-3300025572-1.fltr.fna	GVMAG-M-3300025572-1	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g53	Pithoviridae	cultivation-independent	3	283520	17914	94506.7	225729	326	51.56	Microbial_communities	Defined media
GVMAG-S-1025707-429.fltr.fna	GVMAG-S-1025707-429	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g70	Pithoviridae	cultivation-independent	10	244496	16571	24449.6	43282	265	37.13	Thermal_spring	Thermal springs
Pithovirus.LCPAC404.fltr.fna	Pithovirus.LCPAC404	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g69	Pithoviridae	cultivation-independent	10	436585	11211	43658.5	84762	419	36	Marine	deep sea sediments near hydrothermal vent
Pithovirus.LCPAC403.fltr.fna	Pithovirus.LCPAC403	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g68	Pithoviridae	cultivation-independent	6	420388	24087	70064.7	117884	473	34.25	Marine	deep sea sediments near hydrothermal vent
Pithovirus.LCPAC406.fltr.fna	Pithovirus.LCPAC406	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g68	Pithoviridae	cultivation-independent	8	360079	13790	45009.9	75955	410	33.81	Marine	deep sea sediments near hydrothermal vent
Pithovirus.LCPAC401.fltr.fna	Pithovirus.LCPAC401	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g68	Pithoviridae	cultivation-independent	6	415972	27489	69328.7	114453	493	33.33	Marine	deep sea sediments near hydrothermal vent
Pithovirus.LCPAC201.fltr.fna	Pithovirus.LCPAC201	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g60	Pithoviridae	cultivation-independent	9	411959	20046	45773.2	168698	331	36.35	Marine	deep sea sediments near hydrothermal vent
Pithovirus.LCPAC202.fltr.fna	Pithovirus.LCPAC202	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g60	Pithoviridae	cultivation-independent	12	341984	10098	28498.7	72684	270	34.92	Marine	deep sea sediments near hydrothermal vent
Pithovirus.LCPAC104.fltr.fna	Pithovirus.LCPAC104	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g67	Pithoviridae	cultivation-independent	3	212695	19542	70898.3	129049	195	22.62	Marine	deep sea sediments near hydrothermal vent
GVMAG-S-3300007519-189.fltr.fna	GVMAG-S-3300007519-189	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g64	Pithoviridae	cultivation-independent	7	97206	10306	13886.6	19266	103	33.58	Freshwater	Freshwater
GCA.000916835.1.ViralProj237323.fltr.fna	Pithovirus sibericum P1084-T	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g65	Pithoviridae	isolate	1	610033	610033	610033	610033	486	35.8	Freshwater	pond
GCA.900323535.1.PRJEB25578.fltr.fna	Brazilian cedratvirus IHUMI strain=IHUMI-27.7	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g66	Pithoviridae	isolate	1	460038	460038	460038	460038	541	42.3	Host	rat stool
GCA.900205285.1.ASM90020528v1.fltr.fna	Cedratvirus lausannensis 	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g66	Pithoviridae	isolate	1	575161	575161	575161	575161	664	42.78	Freshwater	drinking water plant
GCA.001995575.1.ViralProj357483.fltr.fna	Cedratvirus A11 strain=A11	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g66	Pithoviridae	isolate	1	589068	589068	589068	589068	689	41.49	Freshwater	Algerian env
GVMAG-S-1096103-95.fltr.fna	GVMAG-S-1096103-95	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g61	Pithoviridae	cultivation-independent	23	452953	10082	19693.6	37420	497	36.65	Marine	Marine
Pithovirus.LCPAC304.fltr.fna	Pithovirus.LCPAC304	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g61	Pithoviridae	cultivation-independent	12	638759	11737	53229.9	173767	777	41.64	Marine	deep sea sediments near hydrothermal vent
GCA.003814225.1.ASM381422v1.fltr.fna	Solumvirus sp. 	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g62	Pithoviridae	cultivation-independent	6	298408	22372	49734.7	80566	268	35.16	Soil	forest soil 
GVMAG-S-1104514-73.fltr.fna	GVMAG-S-1104514-73	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g63	Pithoviridae	cultivation-independent	9	365805	10124	40645	71185	318	24.45	Microbial_communities	Anaerobic digestor
KSW-cf.coassembly.k141.2878728.fa																	
KSW-vf.coassembly.k141.879381.fa																	
DhV1.fna	Dikerogammarus haemobaphes virus 1	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_10	g345	Mininucleoviridae	isolate	1	73581	73581	73581	73581	67	36.22	Host	Shrimp
PaV1.fna	Carcinus maenas virus 1 	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_10	g345	Mininucleoviridae	isolate	1	70886	70886	70886	70886	63	52.48	Marine	Shoreline
CmV1.fna	Panulirus argus virus 1	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_10	g345	Mininucleoviridae	isolate	1	66929	66929	66929	66929	71	45.84	Host	lobster
GCA.002892525.1.ASM289252v1.fltr.fna	Orpheovirus IHUMI-LCC2 strain=IHUMI-LCC2	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g59	Pithoviridae	isolate	1	1473573	1473573	1473573	1473573	1299	24.98	Freshwater	Vermamoeba vermiformis 
GVMAG-S-1021933-23.fltr.fna	GVMAG-S-1021933-23	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g57	Pithoviridae	cultivation-independent	8	1129963	13355	141245.4	402530	832	21.34	Marine	Deep subsurface
GVMAG-M-3300005987-10.fltr.fna	GVMAG-M-3300005987-10	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g56	Pithoviridae	cultivation-independent	10	253127	14097	25312.7	50443	259	38.52	Waste	Nutrient removal
KSW-vf.coassembly.k141.843677.fa																	
KSW-vf.coassembly.k141.163104.fa																	
KSW-vf.coassembly.k141.55285.fa																	
KSW-vf.coassembly.k141.297417.fa																	
KSW-megahit.k141.768679.fa																	
KSW-vf.coassembly.k141.421791.fa																	
KSW-megahit.k141.115455.fa																	
KSW-megahit.k141.422211.fa																	
KSW-vf.coassembly.k141.383490.fa																	
GVMAG-M-3300021389-12.fltr.fna	GVMAG-M-3300021389-12	Nucleocytoviricota	Megaviricetes	Pimascovirales	PM_07	g58	Pithoviridae	cultivation-independent	8	193309	12853	24163.6	54169	208	31.5	Marine	Marine
