Genome	S3_0_3	S3_12_15	S3_21_24	S9_0_3	S9_12_15	S9_21_24	S12_0_3	S12_12_15	S12_21_24
KSD-bin.1.orig: Bacteria; Desulfobacterota; Syntrophobacteria; BM002; BM002; BM002; BM002 sp002899795	5.236482	1.2106234	1.1629711	6.2987013	8.087298	2.280534	1.95559	3.404914	1.9240332
KSD-bin.176.strict: Bacteria; Desulfobacterota; BSN033; BSN033; NA; NA; NA	2.0144355	8.273405	5.2022095	0	2.1107762	3.2174895	1.8489442	3.2994542	5.3964777
KSD-bin.220.strict: Bacteria; Desulfobacterota; BSN033; BSN033; NA; NA; NA	2.243791	8.397199	5.838655	0	2.504554	3.3795671	1.6598605	3.1389742	3.9555206
KSD-bin.143.orig: Bacteria; Desulfobacterota; BSN033; BSN033; NA; NA; NA	2.0119944	7.533315	5.0117216	0	2.5785036	3.5763402	1.5965393	3.9359958	3.969776
KSD-bin.272.orig: Bacteria; Desulfobacterota; Syntrophobacteria; BM002; BM002; BM002; BM002 sp002899795	5.0411954	1.1417344	0.9723598	6.3051925	8.140462	2.6267328	2.4892633	1.8867986	1.5475845
KSD-bin.136.orig: Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; GWC2-71-9; NA; NA	2.183047	1.9265401	1.7617736	0.12383092	9.993243	10.276405	1.0097934	1.4363279	0.8125254
KSD-bin.258.orig: Bacteria; Chloroflexota; Dehalococcoidia; Dehalococcoidales; UBA5760; NA; NA	0.29106125	2.427901	3.7256737	0	0	0.45046806	3.257928	9.105628	10.134321
KSD-bin.221.orig: Bacteria; Desulfobacterota; Syntrophobacteria; BM002; BM002; BM002; NA	4.309969	1.6390885	1.4899939	5.0296965	6.9732223	2.1927857	1.8052984	2.5671737	2.988252
KSD-bin.144.permissive: Bacteria; Desulfobacterota; BSN033; BSN033; NA; NA; NA	2.1158674	8.033225	4.8683915	0	1.9158806	2.9236193	1.9442288	2.953569	4.095993
KSD-bin.216.orig: Bacteria; Desulfobacterota; BSN033; BSN033; NA; NA; NA	1.9925411	5.412028	3.7202737	0	5.6771803	5.245995	1.031445	2.387889	2.5003922
KSD-bin.44.orig: Bacteria; Chloroflexota; Dehalococcoidia; Dehalococcoidales; UBA5760; NA; NA	0.27490258	2.2789214	3.5164616	0	0	0.5169583	3.7411275	7.669607	9.556479
KSD-bin.99.orig: Bacteria; Desulfobacterota; Desulfobacteria; Desulfatiglandales; NA; NA; NA	2.1253278	2.7773936	1.8540175	0	6.4986854	10.876459	0.88653034	1.0905236	1.4191108
KSD-bin.4.orig: Bacteria; Chloroflexota; Dehalococcoidia; Dehalococcoidales; UBA5760; NA; NA	0.39054364	2.448186	4.3834577	0	0	0.75651324	3.0584655	7.3817854	9.089493
KSD-bin.117.orig: Bacteria; Chloroflexota; Anaerolineae; UBA7937; NA; NA; NA	1.5116972	4.428712	6.2255273	0	1.9214084	1.5528737	1.4015503	4.2305813	6.0450735
KSD-bin.71.orig: Bacteria; Proteobacteria; Alphaproteobacteria; UBA11136; UBA11136; NA; NA	0	0	0	0	4.193765	22.97121	0	0	0
KSD-bin.75.orig: Bacteria; Chloroflexota; Dehalococcoidia; Dehalococcoidales; RBG-16-60-22; E44-bin89; NA	0.32878888	1.4750024	2.9623468	0	1.7665534	5.558518	2.9265947	6.088311	5.33639
KSD-bin.17.orig: Bacteria; Chloroflexota; Dehalococcoidia; Dehalococcoidales; UBA5760; NA; NA	0.24165224	2.198027	3.333613	0	0	0.39251712	2.9259045	7.191415	10.008448
KSD-bin.48.orig: Archaea; Thermoproteota; Bathyarchaeia; B26-1; BA1; B1-G15; NA	0	1.7725191	5.1347528	0	0	0.5400973	3.6984808	3.6276116	10.799385
KSD-bin.298.orig: Bacteria; Desulfobacterota; Desulfobacteria; C00003060; C00003060; NA; NA	1.9040205	2.8439195	2.7183921	1.5231171	3.7863045	1.7484505	2.6601338	5.1774244	3.1531587
KSD-bin.2.strict: Bacteria; Desulfobacterota; BSN033; NA; NA; NA; NA	1.7142656	5.1108932	3.4041033	0	3.4506743	6.0066414	1.0418185	2.1301453	2.4514122
KSD-bin.253.permissive: Bacteria; Desulfobacterota; BSN033; BSN033; NA; NA; NA	2.6434329	6.742485	4.158473	0	2.0674403	2.754379	1.326601	2.4608626	3.069086
