vOTUs	sample
K-sec_assembly_k141_936623_full	K
K-sec_assembly_k141_716439_full	K
K-sec_assembly_k141_503559_full	K
K-sec_assembly_k141_1846649_full	K
K-sec_assembly_k141_1194725_full	K
K-sec_assembly_k141_316734_full	K
K-sec_assembly_k141_990672_full	K
K-sec_assembly_k141_1007584_full	K
K-sec_assembly_k141_2142619_full	K
K-sec_assembly_k141_1719835_full	K
K-sec_assembly_k141_1945565_full	K
K-NODE_364_length_38972_cov_31.721279_full	K
K-NODE_386_length_37287_cov_99.919854_full	K
K-NODE_144_length_52477_cov_19.110126_full	K
K-k141_437838_full	K
K-k141_268458_full	K
K-k141_1204602_full	K
K-k141_408567_full	K
K-k141_2073488_full	K
K-k141_2073569_full	K
K-k141_2073572_full	K
K-k141_2073647_full	K
K-k141_1663699_full	K
K-NODE_26_length_42028_cov_8.450599_0_partial	K
K-NODE_214_length_20850_cov_230.692811_0_partial	K
K-NODE_215_length_20849_cov_119.668077_0_partial	K
K-k141_114219_0_partial	K
K-k141_1483100_0_partial	K
K-k141_1382512_0_partial	K
K-k141_970094_0_partial	K
K-k141_1708917_0_partial	K
K-NODE_5750_length_6047_cov_4.469292_lt2gene	K
K-NODE_10067_length_5439_cov_5.109955_lt2gene	K
K-sec_assembly_k141_5882_lt2gene	K
K-NODE_458_length_33658_cov_9.244561	K
K-NODE_584_length_29281_cov_7.051666	K
K-NODE_836_length_23469_cov_6.981592	K
K-NODE_1314_length_17080_cov_125.969280	K
K-NODE_1549_length_15190_cov_5.373571	K
K-NODE_1663_length_14595_cov_5.798487	K
K-NODE_1765_length_13981_cov_6.829097	K
K-NODE_1778_length_13937_cov_7.226336	K
K-NODE_1887_length_13365_cov_6.689031	K
K-NODE_2014_length_12720_cov_6.874773	K
K-NODE_2192_length_12053_cov_12.092265	K
K-NODE_2418_length_11354_cov_31.820338	K
K-NODE_2499_length_11087_cov_25.226342	K
K-NODE_2566_length_10859_cov_6.183451	K
K-NODE_2604_length_10726_cov_14.640427	K
K-NODE_2655_length_10581_cov_7.578567	K
K-NODE_2780_length_10267_cov_8.996964	K
K-NODE_2799_length_10227_cov_13.139206	K
K-NODE_2825_length_10167_cov_8.595431	K
K-NODE_2863_length_10073_cov_6.986225	K
K-NODE_2939_length_9848_cov_6.722761	K
K-NODE_3092_length_9493_cov_7.658084	K
K-NODE_3132_length_9423_cov_9.171755	K
K-NODE_3185_length_9333_cov_6.181936	K
K-NODE_3218_length_9253_cov_9.579909	K
K-NODE_3241_length_9210_cov_6.358930	K
K-NODE_3289_length_9115_cov_52.580022	K
K-NODE_3834_length_8122_cov_4.900831	K
K-NODE_3853_length_8083_cov_10.566517	K
K-NODE_3913_length_8004_cov_6.913322	K
K-NODE_3964_length_7890_cov_9.010721	K
K-NODE_3976_length_7873_cov_6.217191	K
K-NODE_4068_length_7739_cov_9.317413	K
K-NODE_4118_length_7673_cov_17.113153	K
K-NODE_4120_length_7667_cov_7.344325	K
K-NODE_4148_length_7625_cov_5.685337	K
K-NODE_4349_length_7339_cov_6.496431	K
K-NODE_4469_length_7194_cov_8.467993	K
K-NODE_4525_length_7124_cov_28.626821	K
K-NODE_4594_length_7046_cov_8.362180	K
K-NODE_4638_length_6995_cov_5.907925	K
K-NODE_4680_length_6945_cov_116.467634	K
K-NODE_4744_length_6875_cov_4.582405	K
K-NODE_4859_length_6754_cov_5.267055	K
K-NODE_4861_length_6750_cov_23.007468	K
K-NODE_5031_length_6603_cov_5.739310	K
K-NODE_5060_length_6581_cov_4.507508	K
K-NODE_5132_length_6520_cov_6.315855	K
K-NODE_5241_length_6424_cov_5.592087	K
K-NODE_5331_length_6340_cov_9.295147	K
K-NODE_5468_length_6241_cov_5.803912	K
K-NODE_5653_length_6110_cov_7.201156	K
K-NODE_5675_length_6095_cov_40.169040	K
K-NODE_5825_length_5991_cov_5.875674	K
K-NODE_5921_length_5929_cov_8.305924	K
K-NODE_6124_length_5779_cov_78.164221	K
K-NODE_6168_length_5747_cov_36.284434	K
K-NODE_6380_length_5613_cov_14.468694	K
K-NODE_6413_length_5591_cov_42.053829	K
K-NODE_6647_length_5448_cov_4.599110	K
K-NODE_6663_length_5439_cov_3.912333	K
K-NODE_6678_length_5432_cov_6.760275	K
K-NODE_6760_length_5388_cov_6.636227	K
K-NODE_6794_length_5371_cov_27.007336	K
K-NODE_6823_length_5358_cov_6.019046	K
K-NODE_6892_length_5320_cov_9.005508	K
K-NODE_6950_length_5294_cov_7.067761	K
K-NODE_7141_length_5199_cov_17.425544	K
K-NODE_7270_length_5140_cov_5.450147	K
K-NODE_7276_length_5137_cov_6.938017	K
K-NODE_7475_length_5051_cov_10.756605	K
K-NODE_7527_length_5023_cov_6.599034	K
K-NODE_7565_length_5007_cov_10.391559	K
K-NODE_3784_length_11174_cov_11.789999	K
K-NODE_3824_length_11079_cov_20.247460	K
K-NODE_3925_length_10892_cov_20.277383	K
K-NODE_4585_length_9808_cov_10.221675	K
K-NODE_5484_length_8609_cov_10.339958	K
K-NODE_5577_length_8501_cov_11.978096	K
K-NODE_5607_length_8458_cov_12.223730	K
K-NODE_5622_length_8445_cov_9.149940	K
K-NODE_6193_length_7872_cov_15.426123	K
K-NODE_6202_length_7865_cov_4.754930	K
K-NODE_6310_length_7775_cov_19.688083	K
K-NODE_6435_length_7661_cov_6.413489	K
K-NODE_6446_length_7651_cov_6.582938	K
K-NODE_6577_length_7546_cov_9.975437	K
K-NODE_7144_length_7091_cov_54.201109	K
K-NODE_7193_length_7051_cov_8.387650	K
K-NODE_7361_length_6930_cov_7.627491	K
K-NODE_7584_length_6794_cov_32.418015	K
K-NODE_7733_length_6690_cov_10.357649	K
K-NODE_7766_length_6670_cov_55.740287	K
K-NODE_7844_length_6624_cov_10.578475	K
K-NODE_8167_length_6419_cov_7.625236	K
K-NODE_8188_length_6402_cov_35.161336	K
K-NODE_8581_length_6171_cov_12.726782	K
K-NODE_8633_length_6137_cov_15.611641	K
K-NODE_8824_length_6022_cov_11.300151	K
K-NODE_8883_length_5991_cov_10.140667	K
K-NODE_9044_length_5905_cov_7.096581	K
K-NODE_9047_length_5902_cov_12.303403	K
K-NODE_9048_length_5901_cov_16.409340	K
K-NODE_9082_length_5882_cov_9.929295	K
K-NODE_9091_length_5876_cov_24.658822	K
K-NODE_9175_length_5839_cov_7.951591	K
K-NODE_9196_length_5830_cov_10.820606	K
K-NODE_9198_length_5829_cov_145.909595	K
K-NODE_9201_length_5827_cov_9.197852	K
K-NODE_9717_length_5586_cov_18.401374	K
K-NODE_9723_length_5583_cov_5.250904	K
K-NODE_9935_length_5491_cov_12.835173	K
K-NODE_10051_length_5445_cov_5.489610	K
K-NODE_10094_length_5426_cov_53.343139	K
K-NODE_10125_length_5414_cov_11.493189	K
K-NODE_10192_length_5374_cov_82.218838	K
K-NODE_10734_length_5161_cov_17.924599	K
K-NODE_10779_length_5139_cov_6.745279	K
K-NODE_10939_length_5082_cov_8.718918	K
K-NODE_10959_length_5075_cov_7.267331	K
K-NODE_10963_length_5074_cov_95.184100	K
K-NODE_11078_length_5033_cov_59.746685	K
K-NODE_284_length_17183_cov_14.179239	K
K-NODE_332_length_16140_cov_16.561766	K
K-NODE_396_length_15369_cov_19.418767	K
K-NODE_494_length_14152_cov_38.528765	K
K-NODE_538_length_13763_cov_18.391158	K
K-NODE_585_length_13438_cov_14.718897	K
K-NODE_636_length_13053_cov_15.945145	K
K-NODE_654_length_12894_cov_15.834411	K
K-NODE_708_length_12497_cov_15.351953	K
K-NODE_837_length_11732_cov_15.846279	K
K-NODE_967_length_11287_cov_16.278935	K
K-NODE_980_length_11215_cov_15.318817	K
K-NODE_1014_length_11044_cov_17.658841	K
K-NODE_1020_length_11025_cov_15.667001	K
K-NODE_1038_length_10967_cov_14.074413	K
K-NODE_1073_length_10817_cov_16.932448	K
K-NODE_1268_length_10207_cov_16.242317	K
K-NODE_1294_length_10155_cov_15.639109	K
K-NODE_1440_length_9801_cov_19.719372	K
K-NODE_1457_length_9765_cov_15.132853	K
K-NODE_1529_length_9582_cov_14.040202	K
K-NODE_1669_length_9302_cov_14.948740	K
K-NODE_1831_length_9017_cov_15.711225	K
K-NODE_1895_length_8905_cov_31.518644	K
K-NODE_1970_length_8775_cov_14.580505	K
K-NODE_2008_length_8714_cov_15.451207	K
K-NODE_2059_length_8618_cov_13.937055	K
K-NODE_2065_length_8612_cov_31.236298	K
K-NODE_2100_length_8550_cov_17.725956	K
K-NODE_2190_length_8432_cov_15.280172	K
K-NODE_2219_length_8392_cov_11.697373	K
K-NODE_2298_length_8273_cov_13.569360	K
K-NODE_2310_length_8254_cov_17.953531	K
K-NODE_2332_length_8224_cov_16.773901	K
K-NODE_2407_length_8118_cov_15.350242	K
K-NODE_2421_length_8094_cov_14.816395	K
K-NODE_2463_length_8042_cov_19.014398	K
K-NODE_2471_length_8035_cov_14.918797	K
K-NODE_2507_length_7994_cov_15.875551	K
K-NODE_2520_length_7982_cov_14.394348	K
K-NODE_2527_length_7976_cov_20.680091	K
K-NODE_2556_length_7946_cov_16.514257	K
K-NODE_2600_length_7888_cov_16.392825	K
K-NODE_2642_length_7852_cov_16.993972	K
K-NODE_2676_length_7816_cov_14.020101	K
K-NODE_2692_length_7799_cov_7.137526	K
K-NODE_2723_length_7760_cov_14.885399	K
K-NODE_2807_length_7666_cov_15.201419	K
K-NODE_2811_length_7663_cov_12.652340	K
K-NODE_2819_length_7649_cov_15.464051	K
K-NODE_2878_length_7593_cov_15.747811	K
K-NODE_2879_length_7593_cov_14.764924	K
K-NODE_2980_length_7491_cov_15.085261	K
K-NODE_3060_length_7415_cov_8.889130	K
K-NODE_3175_length_7306_cov_20.108399	K
K-NODE_3251_length_7247_cov_15.738042	K
K-NODE_3262_length_7236_cov_15.804623	K
K-NODE_3280_length_7222_cov_17.064741	K
K-NODE_3292_length_7215_cov_14.248184	K
K-NODE_3308_length_7194_cov_15.780501	K
K-NODE_3309_length_7193_cov_16.121322	K
K-NODE_3342_length_7163_cov_17.542628	K
K-NODE_3386_length_7132_cov_15.787622	K
K-NODE_3405_length_7122_cov_13.857082	K
K-NODE_3593_length_6988_cov_16.531804	K
K-NODE_3610_length_6974_cov_13.929614	K
K-NODE_3650_length_6939_cov_12.918361	K
K-NODE_3720_length_6874_cov_15.775920	K
K-NODE_3772_length_6840_cov_16.319528	K
K-NODE_3781_length_6832_cov_26.813192	K
K-NODE_3937_length_6716_cov_12.428915	K
K-NODE_3963_length_6695_cov_14.472892	K
K-NODE_3970_length_6683_cov_14.270217	K
K-NODE_4020_length_6655_cov_14.400909	K
K-NODE_4030_length_6649_cov_16.817258	K
K-NODE_4098_length_6604_cov_14.745610	K
K-NODE_4257_length_6506_cov_7.245233	K
K-NODE_4337_length_6462_cov_16.197440	K
K-NODE_4434_length_6412_cov_15.641026	K
K-NODE_4473_length_6390_cov_25.650671	K
K-NODE_4525_length_6353_cov_15.559860	K
K-NODE_4664_length_6262_cov_16.173675	K
K-NODE_4665_length_6262_cov_13.921701	K
K-NODE_4746_length_6218_cov_13.614473	K
K-NODE_4771_length_6205_cov_31.192520	K
K-NODE_4810_length_6184_cov_15.389134	K
K-NODE_4858_length_6159_cov_21.897936	K
K-NODE_4895_length_6135_cov_15.658224	K
K-NODE_4909_length_6128_cov_16.159065	K
K-NODE_4967_length_6101_cov_7.742805	K
K-NODE_5041_length_6061_cov_14.369797	K
K-NODE_5064_length_6049_cov_15.651151	K
K-NODE_5089_length_6038_cov_15.036102	K
K-NODE_5193_length_5984_cov_15.055321	K
K-NODE_5254_length_5955_cov_16.667627	K
K-NODE_5451_length_5857_cov_15.050500	K
K-NODE_5572_length_5804_cov_14.755436	K
K-NODE_5623_length_5775_cov_15.976573	K
K-NODE_5636_length_5772_cov_5.395837	K
K-NODE_5706_length_5744_cov_16.534892	K
K-NODE_5767_length_5725_cov_12.810053	K
K-NODE_5844_length_5697_cov_72.634527	K
K-NODE_5872_length_5685_cov_15.515453	K
K-NODE_5951_length_5660_cov_8.521855	K
K-NODE_6072_length_5611_cov_14.432685	K
K-NODE_6134_length_5578_cov_16.206047	K
K-NODE_6145_length_5574_cov_12.676572	K
K-NODE_6220_length_5545_cov_18.249909	K
K-NODE_6222_length_5544_cov_12.682820	K
K-NODE_6471_length_5459_cov_7.245744	K
K-NODE_6507_length_5450_cov_15.978313	K
K-NODE_6516_length_5448_cov_15.116262	K
K-NODE_6541_length_5440_cov_15.187001	K
K-NODE_6617_length_5415_cov_14.462127	K
K-NODE_6683_length_5392_cov_14.300169	K
K-NODE_6684_length_5391_cov_15.996064	K
K-NODE_6766_length_5367_cov_13.949360	K
K-NODE_6798_length_5355_cov_13.589434	K
K-NODE_6815_length_5349_cov_29.528523	K
K-NODE_6940_length_5312_cov_6.728933	K
K-NODE_7402_length_5160_cov_10.756121	K
K-NODE_7446_length_5144_cov_13.723718	K
K-NODE_7471_length_5137_cov_19.500197	K
K-NODE_7486_length_5132_cov_15.386843	K
K-NODE_7495_length_5131_cov_13.867021	K
K-NODE_7517_length_5127_cov_11.194992	K
K-NODE_7543_length_5119_cov_14.210308	K
K-NODE_7545_length_5118_cov_12.901244	K
K-NODE_7561_length_5115_cov_12.078063	K
K-NODE_7572_length_5109_cov_15.001385	K
K-NODE_7663_length_5083_cov_12.336714	K
K-NODE_7667_length_5082_cov_12.876069	K
K-NODE_7707_length_5070_cov_12.604586	K
K-NODE_7717_length_5068_cov_15.673848	K
K-NODE_7797_length_5050_cov_13.447247	K
K-NODE_7883_length_5023_cov_15.490539	K
K-NODE_7930_length_5006_cov_9.802868	K
K-NODE_7936_length_5004_cov_14.061224	K
K-NODE_7940_length_5003_cov_15.101657	K
K-NODE_189_length_21663_cov_10.976213	K
K-NODE_978_length_11516_cov_11.216299	K
K-NODE_1140_length_10901_cov_9.864282	K
K-NODE_2123_length_8466_cov_17.356081	K
K-NODE_2242_length_8286_cov_307.617300	K
K-NODE_2388_length_8080_cov_11.457196	K
K-NODE_2641_length_7798_cov_10.918120	K
K-NODE_2735_length_7670_cov_11.680762	K
K-NODE_2771_length_7639_cov_8.590454	K
K-NODE_2801_length_7599_cov_335.415695	K
